country,temperature,foodweb.name,beach,area,depth,elevation
Canada,21.2,pp1i1,pp1,3.26,0.2,1.2
Canada,19.3,pp1i2,pp1,1.43,0.16,1.2
Canada,20.5,pp1i3,pp1,0.91,0.14,1.7
Canada,18.4,pp1i4,pp1,2.56,0.22,1.3
Canada,12.7,pp2i1,pp2,0.39,0.17,1.8
Canada,12.3,pp2i2,pp2,3.9,0.21,1.7
Canada,11.04,pp2i3,pp2,0.47,0.15,1.7
Canada,11.9,pp2i4,pp2,3.27,0.34,1.8
Canada,11.5,pp2m1,pp2,0.19,0.06,1.8
Canada,20.1,pp2m2,pp2,0.54,0.11,1.8
Canada,22.4,pp2m3,pp2,1.31,0.1,1.7
Canada,10.5,pp2m4,pp2,1.37,0.1,1.7
Canada,15.4,sf1i1,sf1,0.81,0.29,1.8
Canada,16.13,sf1i2,sf1,0.7,0.09,1.9
Canada,15.1,sf1i3,sf1,1.21,0.21,0.8
Canada,17.5,sf1i4,sf1,0.26,0.05,1.6
Canada,13.4,sf1m1,sf1,0.95,0.11,1.5
Canada,13.1,sf1m2,sf1,0.19,0.1,1.4
Canada,12.9,sf1m3,sf1,2.14,0.25,1.4
Canada,12.8,sf1m4,sf1,0.52,0.11,1.5
Canada,21.2,sf2i1,sf2,1.71,0.11,1
Canada,20.9,sf2i2,sf2,1.64,0.14,0.8
Canada,20.1,sf2i3,sf2,0.41,0.1,0.8
Canada,20.5,sf2i4,sf2,0.76,0.11,0.8
Canada,21.2,sf2m1,sf2,4.78,0.12,0.9
Canada,24.4,sf2m2,sf2,2.66,0.12,0.8
Canada,21,sf2m3,sf2,0.49,0.09,0.8
Canada,19.6,sf2m4,sf2,0.34,0.08,0.8
England,24.8,mbp1,mb,1.65,0.15,1
England,19,mbp2,mb,0.17,0.12,0.9
England,18.6,mbp3,mb,1.78,0.5,1
England,21.8,mbp4,mb,0.21,0.1,0.7
England,20.4,wp1,wembury,2.26,0.2,1.1
England,21.2,wp2,wembury,0.38,0.2,1
England,19.2,wp3,wembury,5.4,0.3,1.1
England,23.4,wp4,wembury,0.29,0.15,0.9
Portugal,17,cr1p1,cabo raso,1.05,0.38,0.3
Portugal,21,cr1p2,cabo raso,4.64,0.3,0.7
Portugal,22,cr1p3,cabo raso,0.79,0.7,1
Portugal,21,cr1p4,cabo raso,0.24,0.12,0.9
Portugal,21,cr2p1,cabo raso,1.19,0.17,0.9
Portugal,15,cr2p2,cabo raso,14.68,0.4,0.8
Portugal,18,cr2p3,cabo raso,1.14,0.22,2.2
Portugal,23,cr2p4,cabo raso,1.49,0.22,2
Portugal,17,rv1p1,raio verde,5.72,0.54,0.5
Portugal,19,rv1p2,raio verde,5.1,0.5,0.5
Portugal,18,rv1p3,raio verde,0.37,0.1,0.6
Portugal,23,rv1p4,raio verde,1.93,0.8,0.6
Portugal,20,rv2p1,raio verde,1.33,0.26,0.5
Portugal,21,rv2p2,raio verde,1.56,0.34,0.5
Portugal,19,rv2p3,raio verde,2.27,0.13,0.5
Portugal,18,rv2p4,raio verde,1.73,0.1,0.6
Portugal,19,l1p1,paimogo,4.2,0.44,1.5
Portugal,20,l1p2,paimogo,0.39,0.2,0.5
Portugal,20,l1p3,paimogo,14.62,0.31,0.5
Portugal,21,l1p4,paimogo,0.16,0.1,0.5
