Site ID	ST	ET	STxET	pH-H2O	C-org	N-tot	P-tot	Molar C:N ratio	Molar C:P ratio	Molar N:P ratio	Log(aveL)adult	Log(aveL)juv	Log(aveL)tot	Log(aveW)adult	Log(aveW)juv	Log(aveW)tot	Log(aveM)adult	Log(aveM)juv	Log(aveM)tot																				
253	PO	SW	POxSW	4.3	54.7	2.3	1.06	27.6	133.4	4.8	2.83	2.56	2.6	1.41	1.16	1.2	-1.12	-1.83	-1.64																				
254	PO	SW	POxSW	4.4	29.1	0.9	0.11	38.4	704.6	18.4	2.76	2.6	2.63	1.32	1.21	1.23	-1.38	-1.7	-1.63																				
255	PO	SW	POxSW	4.4	34.9	1.0	0.07	42.4	1201.8	28.4	2.69	2.57	2.58	1.32	1.21	1.22	-1.49	-1.75	-1.71																				
256	PO	SW	POxSW	4.5	28.5	0.8	0.07	40.3	1102.9	27.3	2.75	2.56	2.59	1.27	1.18	1.19	-1.44	-1.89	-1.79																				
257	PO	SW	POxSW	4.3	84.9	2.0	0.14	50.8	1582.2	31.2	2.93	2.68	2.72	1.43	1.26	1.29	-1.02	-1.46	-1.38																				
258	PO	SW	POxSW	4.7	18.0	0.5	0.06	41.5	719.4	17.3	2.85	2.6	2.64	1.44	1.21	1.25	-1.02	-1.67	-1.53																				
259	PO	SW	POxSW	4.1	42.4	1.1	0.06	45.7	1912.8	41.9	2.83	2.59	2.62	1.39	1.22	1.24	-1.07	-1.61	-1.5																				
260	PO	SW	POxSW	4.1	51.2	1.6	0.11	38.2	1194.7	31.3	2.8	2.53	2.57	1.37	1.17	1.2	-1.22	-1.69	-1.6																				
261	PO	SW	POxSW	4.3	42.4	1.1	0.06	44.9	1971.0	43.9	2.78	2.53	2.58	1.33	1.13	1.17	-1.26	-1.93	-1.72																				
262	PO	SW	POxSW	4.5	40.1	1.0	0.06	48.0	1658.8	34.6	2.8	2.62	2.64	1.33	1.22	1.23	-1.33	-1.62	-1.58																				
263	HI	MG	HIxMG	5.7	244.2	15.6	3.01	18.3	209.0	11.4	2.93	2.61	2.69	1.47	1.19	1.26	-0.66	-1.63	-1.22																				
264	PO	MG	POxMG	5.3	68.6	3.6	0.76	22.1	234.2	10.6	2.84	2.69	2.73	1.43	1.29	1.33	-1.13	-1.38	-1.3																				
265	PO	MG	POxMG	5.8	38.4	2.3	0.81	19.7	122.5	6.2	2.89	2.7	2.75	1.45	1.32	1.36	-0.99	-1.27	-1.18																				
266	PO	MG	POxMG	5.8	30.2	1.8	0.72	19.6	107.5	5.5	2.98	2.74	2.8	1.48	1.31	1.35	-0.65	-1.21	-1.02																				
267	PO	MG	POxMG	6	32.6	1.8	0.76	21.5	110.5	5.1	2.88	2.69	2.76	1.48	1.33	1.37	-0.65	-1.27	-0.99																				
268	PO	MG	POxMG	5.9	31.4	1.9	0.76	19.6	106.5	5.4	3.02	2.64	2.77	1.52	1.27	1.34	-0.6	-1.48	-1.08																				
269	PO	MG	POxMG	5.8	32.6	2.1	0.69	18.4	122.5	6.7	2.88	2.75	2.79	1.43	1.3	1.34	-0.89	-1.26	-1.12																				
270	PO	MG	POxMG	5.8	31.4	1.8	0.85	20.1	95.6	4.7	2.91	2.7	2.76	1.5	1.3	1.36	-0.61	-1.37	-1.04																				
271	PO	MG	POxMG	6	34.9	1.7	0.63	24.4	143.1	5.9	2.82	2.68	2.71	1.48	1.32	1.35	-1.02	-1.39	-1.29																				
272	PO	MG	POxMG	5.4	26.7	1.7	0.68	18.2	101.9	5.6	2.86	2.65	2.72	1.47	1.29	1.35	-0.94	-1.37	-1.2																				
273	PO	MG	POxMG	5	77.9	4.3	0.78	21.3	257.0	12.1	2.86	2.72	2.76	1.41	1.31	1.34	-0.85	-1.25	-1.09																				
274	PO	MG	POxMG	5.5	10.5	1.9	0.62	6.5	43.5	6.7	2.77	2.64	2.67	1.4	1.29	1.31	-1.17	-1.47	-1.39																				
275	PO	MG	POxMG	5.2	61.6	3.3	0.73	22.1	216.6	9.8	2.85	2.69	2.74	1.41	1.26	1.31	-0.86	-1.36	-1.15																				
276	PO	MG	POxMG	5.8	29.1	1.6	0.68	21.7	110.7	5.1	2.81	2.69	2.72	1.44	1.31	1.34	-1.06	-1.42	-1.31																				
277	PO	MG	POxMG	5.7	31.4	1.7	0.73	21.4	111.0	5.2	2.84	2.68	2.72	1.48	1.32	1.36	-0.77	-1.36	-1.15																				
278	PO	MG	POxMG	5.7	26.7	1.5	0.69	20.6	100.0	4.9	2.8	2.65	2.68	1.42	1.28	1.32	-1.18	-1.56	-1.45																				
279	PO	MG	POxMG	5.7	30.2	1.7	0.75	21.2	104.4	4.9	2.75	2.69	2.71	1.36	1.3	1.31	-1.32	-1.41	-1.39																				
280	PO	MG	POxMG	5.7	29.1	1.7	0.75	20.4	100.4	4.9	2.8	2.58	2.66	1.43	1.27	1.32	-1.08	-1.63	-1.4																				
281	PO	MG	POxMG	5.6	31.4	1.7	0.72	22.0	112.4	5.1	2.82	2.64	2.69	1.41	1.25	1.3	-1.07	-1.57	-1.37																				
282	PO	MG	POxMG	5.8	29.1	1.6	0.78	21.0	95.9	4.6	2.75	2.6	2.65	1.34	1.28	1.29	-1.42	-1.61	-1.55																				
283	PO	MG	POxMG	5.5	27.9	2.3	1.07	14.3	67.3	4.7	2.84	2.63	2.68	1.44	1.25	1.3	-1.03	-1.56	-1.39																				
284	PO	MG	POxMG	5.8	32.6	1.8	0.52	21.5	160.2	7.5	2.9	2.61	2.71	1.5	1.27	1.34	-0.85	-1.34	-1.15																				
285	PO	MG	POxMG	5.6	34.9	2.2	0.58	18.7	156.1	8.3	2.89	2.63	2.72	1.53	1.27	1.37	-0.71	-1.48	-1.09																				
286	PO	MG	POxMG	5.8	32.6	1.8	0.57	20.9	146.8	7.0	2.85	2.64	2.7	1.45	1.28	1.33	-0.81	-1.56	-1.22																				
287	PO	MG	POxMG	5.8	30.2	1.8	0.51	19.4	152.6	7.9	2.79	2.63	2.69	1.43	1.31	1.35	-1.09	-1.31	-1.23																				
288	PO	MG	POxMG	5.8	31.4	1.6	0.51	22.7	159.8	7.1	2.87	2.64	2.71	1.45	1.3	1.34	-1	-1.5	-1.3																				
289	PO	MG	POxMG	5.7	37.2	1.7	0.61	25.1	158.1	6.3	2.84	2.59	2.67	1.44	1.26	1.31	-1.11	-1.65	-1.45																				
290	PO	MG	POxMG	5.9	26.7	1.3	0.51	23.8	135.0	5.7	2.74	2.61	2.65	1.39	1.28	1.31	-1.25	-1.57	-1.47																				
291	PO	MG	POxMG	5.8	45.3	2.4	0.61	22.2	192.7	8.7	2.77	2.65	2.68	1.39	1.29	1.32	-1.26	-1.51	-1.44																				
292	FC	MG	FCxMG	6.6	61.6	4.9	1.07	14.8	147.9	10.0	2.83	2.65	2.71	1.41	1.26	1.3	-0.9	-1.47	-1.23																				
