species.code,full.name,class,first.name,species,M,tr.group,p165web,p35web,ref,bobi.col,species.order,old.order,afterstep1.col
11006,Aglenchus agricola,nematodes,Aglenchus,agricola,0.044273815,11,1,1,chris,75,15,638,77
11006,Aglenchus,nematodes,Aglenchus,,0.044273815,11,1,0,chris,74,14,768,76
11011,Amplimerlinius caroli,nematodes,Amplimerlinius,caroli,0.1663125,11,1,0,Ferris,85,25,678,87
11011,Amplimerlinius icarus,nematodes,Amplimerlinius,icarus,NA,11,0,0,chris,86,26,796,88
11011,Amplimerlinius,nematodes,Amplimerlinius,,NA,11,0,0,chris,84,24,795,86
11014,Anguinidae,nematodes,Anguinidae,,0.043216456,11,1,1,chris,92,32,641,94
11022,Basiria,nematodes,Basiria,,NA,11,0,0,chris,114,54,801,116
11025,Bitylenchus,nematodes,Bitylenchus,,NA,11,0,0,chris,120,60,803,122
11026,Boleodorus thylactus,nematodes,Boleodorus,thylactus,NA,11,0,0,chris,122,62,805,124
11026,Boleodorus,nematodes,Boleodorus,,NA,11,0,0,chris,121,61,804,123
11041,Coslenchus costatus,nematodes,Coslenchus,costatus,0.075534198,11,1,1,chris,152,92,621,154
11041,Coslenchus rhombus,nematodes,Coslenchus,rhombus,0.075534198,11,1,0,chris,153,93,757,155
11041,Coslenchus,nematodes,Coslenchus,,0.075534198,11,1,1,chris,151,91,620,153
11042,Criconematidae,nematodes,Criconematidae,,0.088273418,11,1,1,chris,154,94,614,156
11054,Dolichodoridae,nematodes,Dolichodoridae,,0.06510779,11,1,1,chris,177,117,630,179
11056,Dolichorhynchus lamelliferus,nematodes,Dolichorhynchus,lamelliferus,0.0881625,11,1,1,Ferris,180,120,546,182
11056,Dolichorhynchus,nematodes,Dolichorhynchus,,0.0623375,11,1,1,Ferris,179,119,545,181
11062,Ecphyadophora tenuissima,nematodes,Ecphyadophora,tenuissima,0.001857575,11,1,0,Ferris,191,131,696,193
11062,Ecphyadophora,nematodes,Ecphyadophora,,NA,11,0,0,chris,190,130,829,192
11070,Filenchus discrepans,nematodes,Filenchus,discrepans,0.046322993,11,0,0,chris,220,160,933,222
11070,Filenchus ditissimus,nematodes,Filenchus,ditissimus,0.046322993,11,0,0,chris,221,161,934,223
11070,Filenchus helenae,nematodes,Filenchus,helenae,0.046322993,11,0,0,chris,222,162,935,224
11070,Filenchus magnus,nematodes,Filenchus,magnus,0.046322993,11,0,0,chris,223,163,936,225
11070,Filenchus microdorus,nematodes,Filenchus,microdorus,0.046322993,11,0,0,chris,224,164,937,226
11070,Filenchus misellus,nematodes,Filenchus,misellus,0.046322993,11,0,0,chris,225,165,938,227
11070,Filenchus quartus,nematodes,Filenchus,quartus,0.046322993,11,0,0,chris,226,166,939,228
11070,Filenchus sandneri,nematodes,Filenchus,sandneri,0.046322993,11,0,0,chris,227,167,940,229
11070,Filenchus terrestris,nematodes,Filenchus,terrestris,0.046322993,11,0,0,chris,228,168,941,230
11070,Filenchus vulgaris,nematodes,Filenchus,vulgaris,0.046322993,11,1,1,chris,229,169,637,231
11070,Filenchus zaphari,nematodes,Filenchus,zaphari,0.046322993,11,0,0,chris,230,170,942,232
11070,Filenchus,nematodes,Filenchus,,0.046322993,11,1,1,chris,219,159,636,221
11071,Geocenamus,nematodes,Geocenamus,,NA,11,0,0,chris,231,171,836,233
11073,Gracilacus goodeyi,nematodes,Gracilacus,goodeyi,NA,11,0,0,chris,234,174,837,236
