foodwebName,LandUse,LitterDiv,MainTreeSpec,Exploratory,Litterlayer_mm,Humuslayer_mm,Totallayer_mm,Littermass_g/m²,PHsoil,PHlitter,C_mg/g,N_mg/g,Al_mg/g,Ca_mg/g,Cu_mg/g,Fe_mg/g,K_mg/g,Mg_mg/g,Mn_mg/g,Na_mg/g,P_mg/g,Zn_mg/g,S_mg/g,C/N,C/P,C/N/P,N/P
aew01,conifer,2,spruce,Alb,10,41.875,51.875,0.83,3.5875,4.153333,465.28004,18.17235,0.001576,0.005465,3.1e-5,0.001173,0.001124,4.64e-4,0.002184,8.1e-5,8.76e-4,6e-5,0.001551,25.603735,531201.169292,29231.286504,20747.018438
aew02,conifer,1,spruce,Alb,34.375,17.5,51.875,0.41,4.54,5.0125,432.80949,16.27321,0.003853,0.017244,4.5e-5,0.002506,0.001446,8.94e-4,0.00154,9.5e-5,6.71e-4,6.5e-5,0.001306,26.596442,645335.098522,39656.287759,24263.963294
aew03,conifer,1,spruce,Alb,26.875,30.625,57.5,1.22,4.8675,5.2875,410.78255,15.55763,0.008249,0.01518,5.4e-5,0.005629,0.00258,0.001213,6.94e-4,1.23e-4,7.85e-4,9.5e-5,0.001269,26.403928,523214.288276,33630.71935,19815.774326
aew04,beech30,1,beech,Alb,33.75,8,41.75,0.92,6.415,5.6525,411.67267,15.59988,0.003495,0.019926,2.9e-5,0.002506,0.00132,0.001467,3.12e-4,1.56e-4,8.81e-4,6.3e-5,0.001331,26.389477,467230.655631,29950.913445,17705.188348
aew05,beech70,1,beech,Alb,51.875,2.5,54.375,0.63,5.3125,5.54,440.83214,15.67503,0.008395,0.018057,2.6e-5,0.005596,0.001988,0.001557,7.47e-4,1.18e-4,4.42e-4,5.9e-5,9.98e-4,28.123209,996341.865302,63562.357795,35427.744966
aew06,beech70,2,beech,Alb,26.25,23.75,50,0.59,5.9825,5.75,439.36798,14.62467,0.003703,0.019544,3.9e-5,0.002487,0.001689,0.001144,6.34e-4,1e-4,7.27e-4,5.1e-5,0.001128,30.042933,604095.744891,41306.624005,20107.748674
aew07,beechNat,2,beech,Alb,42.5,20,62.5,0.54,5.615,5.64,445.05123,19.38143,0.002472,0.018718,3.4e-5,0.001604,0.001267,0.001445,9.53e-4,8e-5,9.01e-4,6.8e-5,0.001549,22.962765,493958.854291,25486.192417,21511.29648
aew08,beechNat,1,beech,Alb,23.125,21.25,44.375,0.83,5.475,5.3,434.33292,15.69791,0.002751,0.024778,2.3e-5,0.001539,0.001441,9.99e-4,7.37e-4,5.7e-5,8.02e-4,5.5e-5,0.00126,27.6682,541868.752652,34518.528432,19584.531863
aew09,beechNat,3,beech,Alb,41.25,13.75,55,0.29,6.116667,5.6875,418.70621,13.9235,0.005665,0.020259,2.9e-5,0.004022,0.001435,0.001199,6.45e-4,9.4e-5,5.65e-4,5.1e-5,0.003749,30.071908,741162.615188,53231.056501,24646.344922
aew11,conifer,2,spruce,Alb,26.25,35,61.25,0.71,3.7625,4.425,365.37537,16.039180000000002,0.008566,0.005499,4.7e-5,0.006528,0.002702,0.001289,0.002462,1.45e-4,9.75e-4,7.6e-5,0.001284,22.780178,374858.342586,23371.415658,16455.461766
aew17,beech30,1,beech,Alb,46.875,15,61.875,1.1,6.12,5.585,456.05148,16.54313,0.001347,0.019564,2.4e-5,0.001012,0.00108,0.001445,3.53e-4,8.5e-5,8.34e-4,5.6e-5,0.001264,27.567424,546505.648186,33035.202419,19824.327691
aew18,beech70,1,beech,Alb,13,9.25,22.25,0.65,4.94,5.4775,378.49472,13.08617,0.006769,0.012238,2.8e-5,0.005953,0.002227,0.001432,9.86e-4,1.2e-4,8.76e-4,6e-5,9.37e-4,28.923262,432269.354396,33032.533919,14945.387501
aew25,beech30,3,beech,Alb,40.625,4.375,45,0.62,5.8275,5.525,427.73891,13.48557,0.002986,0.019787,3.9e-5,0.002314,0.001152,0.001244,7.71e-4,1.34e-4,5.36e-4,5.4e-5,0.001099,31.718267,798473.289494,59209.457924,25173.925464
aew27,beech30,1,beech,Alb,42.5,7.5,50,1.05,5.4975,5.445,447.01916,20.51489,0.001988,0.019695,4.2e-5,0.001217,9.87e-4,0.00147,0.001452,6.9e-5,8.78e-4,7.3e-5,0.001893,21.789986,508961.62845,24809.376431,23357.593491
aew30,beech70,2,beech,Alb,31.25,6.875,38.125,0.66,5.9775,5.565,408.38226,13.97601,0.01,0.0214,3.2e-5,0.005168,0.002118,0.001772,3.26e-4,1.78e-4,7.8e-4,6.9e-5,0.001214,29.220232,523537.66746,37459.737612,17916.957695
aew49,beechNat,3,beech,Alb,40,5,45,0.41,6.49,6.4475,411.8988,13.95349,0.006079,0.027851,4e-5,0.003482,0.001409,0.001438,5.06e-4,7.6e-5,5.11e-4,8.9e-5,0.00112,29.519411,806585.753996,57805.305626,27323.911244
hew01,conifer,5,spruce,Hainich,23.75,2.5,26.25,0.21,6.9875,6.435,373.29079,12.55988,0.011063,0.026876,3.5e-5,0.007571,0.00333,0.01051,6.74e-4,1.95e-4,6.73e-4,5.9e-5,0.001072,29.720888,554792.285576,44171.78234,18666.746457
