site,salinity,salinity_sd,depth,depth_sd,temperature,temperature_sd
1,6.7,6.4,8.6,2.6,17.6,3.4
2,10.5,5.8,3.7,1.4,17.7,3.4
3,15.3,6.2,3.6,1.2,17.6,3.4
4,18.1,5.4,2.1,0.6,17.7,3.2
5,21.6,5.2,2.6,0.8,17.8,3.1
6,23.2,4.9,3,1,17.8,3
7,29.9,1.6,3.1,1,17.2,2.3
8,29,1.9,3.8,0.7,17.4,2.6
9,27.9,2.4,6.2,1.6,17.5,2.8
10,28.1,2.7,3.8,2.7,17.5,2.9
11,28.4,2.3,6.7,1.3,17.4,2.8
12,27.7,2.6,4.1,1.8,17.5,2.9
13,29.7,1.6,6.1,1.7,17.1,2.2
14,31.1,1.1,9.4,2.1,16.8,1.9
15,31,1.4,9.1,2.4,16.9,1.9
16,31,1.9,11.3,1.6,16.7,1.9
17,30.9,1.4,6,2.3,17,1.9
18,30.4,1.5,7.8,2.5,17.3,2.3
19,30.8,1.7,13,2.1,18,2.2
20,33.9,0.8,15.3,3.6,15.8,1.1
21,33.6,1,10.9,5.7,15.4,0.7
22,32.9,1.1,8.8,5.2,16.4,1.4
23,33.5,1.1,4.3,2.5,16.3,1.5
24,33.7,0.9,10.2,3.3,16.6,1.3
25,35.6,0.4,9.1,1.2,16.4,1.2
26,35.6,0.4,9.7,2.1,16.3,1.2
27,35.7,0.4,12.9,1.3,16.3,1.3
28,35.7,0.4,17.6,0.9,16,1.2
29,35.7,0.5,17.1,1.4,16,1.3
30,35.7,0.4,18.1,1.1,15.9,1.3
